nombre,url,formato,logo,estado,categoria
EWTN,https://1654596987.rsc.cdn77.org/1654596987/tracks-v1a1/mono.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/f9/7c/3570-efef-4572-952e-464531b0a057.png,1,Otros
Maria Vision,https://1601580044.rsc.cdn77.org/live/_jcn_/amls:Mariavision/chunklist.m3u8,m3u8,,1,Internacionales
Cuba Vision,https://thundernet.streampool.net/10323/live/hls/cubavision/playlist.m3u8,m3u8,,1,Otros
RT,https://rt-esp.rttv.com/dvr/rtesp/playlist_4500Kb.m3u8,m3u8,,1,Internacionales
HispanoTV,https://live.presstv.ir/hls/hispantv_5_482/index.m3u8,m3u8,,1,Internacionales
Antena3,https://thundernet.streampool.net/10323/live/hls/antena3/playlist.m3u8,m3u8,,1,Otros
TVE,https://thundernet.streampool.net/10323/live/hls/tve/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/4e/80/188c-a7d2-4342-8f79-66d0e9ee79af.png,1,Internacionales
24 Horas,https://thundernet.streampool.net/10323/live/hls/24h/playlist.m3u8,m3u8,,1,Otros
Rai Italia,https://thundernet.streampool.net/10323/live/hls/raiitalia/playlist.m3u8,m3u8,,1,Internacionales
RTPi,https://thundernet.streampool.net/10323/live/hls/rtpinternacional/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/5a/46/920b-d112-45b9-94c9-cfdd15716efb.png,1,Internacionales
TV 5,https://thundernet.streampool.net/10323/live/hls/tv5/playlist.m3u8,m3u8,,1,Otros
CGTN,https://thundernet.streampool.net/10323/live/hls/cgtn/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/44/d9/3d2e-52fc-493f-bfec-ae06e5b31012.png,1,Internacionales
CCTV,https://thundernet.streampool.net/10323/live/hls/cctvhd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/03/67/e3aa-c408-42f2-85bf-8de481333781.png,1,Internacionales
Aljazeera Channel,https://live-hls-web-aja-fa.getaj.net/AJA/01.m3u8  -- Canal Arabe,m3u8,,1,Internacionales
Universal Premiere,https://thundernet.streampool.net/10323/live/hls/universalpremiere/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/b1/6a/5bf3-0c9d-4309-9aea-f5156e7fa9f0.png,1,Películas
